Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,PCT_SE_A10008_002,PCT_SE_A10008_003,PCT_SE_A10008_004,PCT_SE_A10008_005,PCT_SE_A10008_006,PCT_SE_A10008_007,PCT_SE_A10008_008,PCT_SE_A10008_009,SE_A10009_001,SE_A10009_002,SE_A10009_003,SE_A10009_004,SE_A10009_005,SE_A10009_006,SE_A10009_007,SE_A10009_008,SE_A10009_009,SE_A10009_010,SE_A10009_011,SE_A10009_012,SE_A10009_013,SE_A10009_014,SE_A10009_015,SE_A10009_016,SE_A10009_017,SE_A10009_018,SE_A10009_019,PCT_SE_A10009_002,PCT_SE_A10009_003,PCT_SE_A10009_004,PCT_SE_A10009_005,PCT_SE_A10009_006,PCT_SE_A10009_007,PCT_SE_A10009_008,PCT_SE_A10009_009,PCT_SE_A10009_010,PCT_SE_A10009_011,PCT_SE_A10009_012,PCT_SE_A10009_013,PCT_SE_A10009_014,PCT_SE_A10009_015,PCT_SE_A10009_016,PCT_SE_A10009_017,PCT_SE_A10009_018,PCT_SE_A10009_019,SE_A11001_001,SE_A11001_002,SE_A11001_003,SE_A11001_004,SE_A11001_005,SE_A11001_006,PCT_SE_A11001_002,PCT_SE_A11001_003,PCT_SE_A11001_004,PCT_SE_A11001_005,PCT_SE_A11001_006,SE_A11002_001,SE_A11002_002,SE_A11002_003,SE_A11002_004,SE_A11002_005,SE_A11002_006,SE_A11002_007,SE_A11002_008,SE_A11002_009,PCT_SE_A11002_002,PCT_SE_A11002_003,PCT_SE_A11002_004,PCT_SE_A11002_005,PCT_SE_A11002_006,PCT_SE_A11002_007,PCT_SE_A11002_008,PCT_SE_A11002_009,SE_A19001_001,SE_A19001_002,SE_A19001_003,PCT_SE_A19001_002,PCT_SE_A19001_003,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017,SE_A14006_001,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A14008_001,SE_A14010_001,SE_A14011_001,SE_A14012_001,SE_A14013_001,SE_A14014_001,SE_A14014_002,SE_A14014_003,SE_A14014_004,SE_A14014_005,SE_A14014_006,SE_A14014_007,SE_A15001_001,SE_A15001_002,SE_A15001_003,SE_A15001_004,SE_A15001_005,SE_A15001_006,SE_A15001_007,SE_A15001_008,SE_A15001_009,SE_A15001_010,SE_A15001_011,SE_A15001_012,SE_A15001_013,SE_A15001_014,SE_A15001_015,SE_A15001_016,SE_A15001_017,SE_A15001_018,SE_A14015_001,SE_A14015_002,SE_A14015_003,SE_A10011_001,SE_A10011_002,SE_A10011_003,PCT_SE_A10011_002,PCT_SE_A10011_003,SE_A10019_001,SE_A10019_002,SE_A10019_003,PCT_SE_A10019_002,PCT_SE_A10019_003,SE_A10016_001,SE_A10016_002,SE_A10016_003,PCT_SE_A10016_002,PCT_SE_A10016_003,SE_A10012_001,SE_A10012_002,SE_A10012_003,PCT_SE_A10012_002,PCT_SE_A10012_003,SE_A10017_001,SE_A10017_002,SE_A10017_003,PCT_SE_A10017_002,PCT_SE_A10017_003,SE_A10018_001,SE_A10018_002,SE_A10018_003,PCT_SE_A10018_002,PCT_SE_A10018_003,SE_A10014_001,SE_A10014_002,SE_A10014_003,PCT_SE_A10014_002,PCT_SE_A10014_003,SE_A10015_001,SE_A10015_002,SE_A10015_003,PCT_SE_A10015_002,PCT_SE_A10015_003,SE_A10013_001,SE_A10013_002,SE_A10013_003,PCT_SE_A10013_002,PCT_SE_A10013_003,SE_A14024_001,SE_A14024A_001,SE_A14024B_001,SE_A14024C_001,SE_A14024D_001,SE_A14024E_001,SE_A14024F_001,SE_A14024G_001,SE_A14024H_001,SE_A14024I_001,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,PCT_SE_A09005_002,PCT_SE_A09005_009,PCT_SE_A09005_010,PCT_SE_A09005_003,PCT_SE_A09005_004,PCT_SE_A09005_005,PCT_SE_A09005_006,PCT_SE_A09005_007,PCT_SE_A09005_008,SE_A09001_001,SE_A09001_002,SE_A09001_003,SE_A09001_004,SE_A09001_005,SE_A09001_006,SE_A09001_007,SE_A09001_008,SE_A09001_009,SE_A09001_010,PCT_SE_A09001_002,PCT_SE_A09001_003,PCT_SE_A09001_004,PCT_SE_A09001_005,PCT_SE_A09001_006,PCT_SE_A09001_007,PCT_SE_A09001_008,PCT_SE_A09001_009,PCT_SE_A09001_010,commute_avg
36005000100,14000US36005000100,"Census Tract 1, Bronx County, New York","Census Tract 1, Bronx County, New York",ny,140,0,ACSSF,3481,,,,,36,5,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7411,7411,11444.24,0.647574429,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,7411,6520,730,42,16,103,87.98,9.85,0.57,0.22,1.39,0,0,0,0,0,0,0,0,0,,,,,,,,,7411,7411,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10268,10288,,10015,9625,26250,6458,10908,10968,11047,10408,,,10924,11149,11163,10357,,,,,,,,,,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,2195,3082,2218,,151,,1091,,1866,4938,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0
36005000200,14000US36005000200,"Census Tract 2, Bronx County, New York","Census Tract 2, Bronx County, New York",ny,140,0,ACSSF,3482,,,,,36,5,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5058,5058,27322.57,0.185121707,1321,1013,587,426,165,261,308,195,113,76.68,44.44,32.25,12.49,19.76,23.32,14.76,8.55,1321,520,520,302,218,56,162,0,0,0,801,493,285,208,109,99,308,195,113,39.36,39.36,22.86,16.5,4.24,12.26,0,0,0,60.64,37.32,21.57,15.75,8.25,7.49,23.32,14.76,8.55,4164,1662,1681,163,201,457,39.91,40.37,3.91,4.83,10.98,1321,63,12,0,12,51,29,22,1258,4.77,0.91,0,0.91,3.86,2.2,1.67,95.23,5058,6,5052,0.12,99.88,1321,178,29,32,44,74,53,62,65,20,75,107,171,160,91,139,21,13.47,2.2,2.42,3.33,5.6,4.01,4.69,4.92,1.51,5.68,8.1,12.94,12.11,6.89,10.52,1.59,62773,62773,62656,76250,,,,35395,151553,62350,,73686.82816,67543,77774.33366,39360,49083.76623,30210,31931,45669,11182,28134,34567,11989,35108,32742,30784,36382,50125,73529,36473,29722,35112,52534,50556,,31677,33409,30704,32644,,,62773,102407,40679,1321,1068,253,80.85,19.15,1321,1030,291,77.97,22.03,1321,110,1211,8.33,91.67,1321,127,1194,9.61,90.39,1321,459,862,34.75,65.25,1321,147,1174,11.13,88.87,1321,72,1249,5.45,94.55,1321,258,1063,19.53,80.47,1321,122,1199,9.24,90.76,21116,22164,22353,,26402,,11858,27721,20098,27118,1835,1124,951,173,631,0,0,71,0,9,61.25,51.83,9.43,34.39,0,0,3.87,0,0.49,1835,1826,21,357,372,250,346,284,196,9,99.51,1.14,19.46,20.27,13.62,18.86,15.48,10.68,0.49,42
36005000400,14000US36005000400,"Census Tract 4, Bronx County, New York","Census Tract 4, Bronx County, New York",ny,140,0,ACSSF,3483,,,,,36,5,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5944,5944,19975.49,0.297564699,1935,1497,793,704,239,465,438,173,265,77.36,40.98,36.38,12.35,24.03,22.64,8.94,13.7,1935,656,646,284,362,86,276,10,0,10,1279,851,509,342,153,189,428,173,255,33.9,33.39,14.68,18.71,4.44,14.26,0.52,0,0.52,66.1,43.98,26.3,17.67,7.91,9.77,22.12,8.94,13.18,4930,2301,1855,128,237,409,46.67,37.63,2.6,4.81,8.3,1935,143,32,0,32,111,51,60,1792,7.39,1.65,0,1.65,5.74,2.64,3.1,92.61,5944,14,5930,0.24,99.76,1935,185,21,86,42,21,66,82,36,23,93,170,369,231,164,222,124,9.56,1.09,4.44,2.17,1.09,3.41,4.24,1.86,1.19,4.81,8.79,19.07,11.94,8.48,11.47,6.41,82697,82697,77917,82930,,,,93250,116125,83800,66328,94280.46512,88432,100790.2472,51250,54394.97717,36549,36009,60102,14009,37431,58942,15072,51699,,55276,44231,60492,84556,49583,,42337,41900,60938,119425,56477,,79783,46272,60238,70250,82697,92888,38393,1935,1536,399,79.38,20.62,1935,1511,424,78.09,21.91,1935,144,1791,7.44,92.56,1935,329,1606,17,83,1935,591,1344,30.54,69.46,1935,150,1785,7.75,92.25,1935,162,1773,8.37,91.63,1935,381,1554,19.69,80.31,1935,157,1778,8.11,91.89,33461,32311,36757,61257,28752,,30047,31762,32769,16904,2848,1481,1257,224,1258,0,10,46,0,53,52,44.14,7.87,44.17,0,0.35,1.62,0,1.86,2848,2795,116,217,380,320,607,800,355,53,98.14,4.07,7.62,13.34,11.24,21.31,28.09,12.46,1.86,48
36005001600,14000US36005001600,"Census Tract 16, Bronx County, New York","Census Tract 16, Bronx County, New York",ny,140,0,ACSSF,3484,,,,,36,5,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6115,6115,32649.89,0.187290057,1962,1470,488,982,105,877,492,56,436,74.92,24.87,50.05,5.35,44.7,25.08,2.85,22.22,1962,851,842,284,558,45,513,9,0,9,1111,628,204,424,60,364,483,56,427,43.37,42.92,14.48,28.44,2.29,26.15,0.46,0,0.46,56.63,32.01,10.4,21.61,3.06,18.55,24.62,2.85,21.76,4581,2261,1209,159,369,583,49.36,26.39,3.47,8.06,12.73,1962,99,0,0,0,99,34,65,1863,5.05,0,0,0,5.05,1.73,3.31,94.95,6115,252,5863,4.12,95.88,1962,252,255,159,80,104,198,86,222,43,189,137,47,139,20,20,11,12.84,13,8.1,4.08,5.3,10.09,4.38,11.31,2.19,9.63,6.98,2.4,7.08,1.02,1.02,0.56,33118,33118,33456,31746,,,,35078,,33865,,41480.3262,39314,44426.66667,13446,18800.60976,18042,18884,42933,9841,17912,33259,11756,28491,18393,21824,30559,54269,44333,28942,,,28077,,43167,28361,18294,21222,30853,56250,,33118,58304,31250,1962,1439,523,73.34,26.66,1962,1433,529,73.04,26.96,1962,112,1850,5.71,94.29,1962,75,1887,3.82,96.18,1962,604,1358,30.78,69.22,1962,237,1725,12.08,87.92,1962,137,1825,6.98,93.02,1962,241,1721,12.28,87.72,1962,150,1812,7.65,92.35,14673,15936,12863,,,,16051,5987,16348,9798,2098,872,759,113,991,0,0,154,0,81,41.56,36.18,5.39,47.24,0,0,7.34,0,3.86,2098,2017,95,425,267,330,372,426,102,81,96.14,4.53,20.26,12.73,15.73,17.73,20.31,4.86,3.86,39
36005001900,14000US36005001900,"Census Tract 19, Bronx County, New York","Census Tract 19, Bronx County, New York",ny,140,0,ACSSF,3485,,,,,36,5,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817,2817,4374.064,0.644023447,969,495,230,265,51,214,474,228,246,51.08,23.74,27.35,5.26,22.08,48.92,23.53,25.39,969,363,363,166,197,43,154,0,0,0,606,132,64,68,8,60,474,228,246,37.46,37.46,17.13,20.33,4.44,15.89,0,0,0,62.54,13.62,6.6,7.02,0.83,6.19,48.92,23.53,25.39,2133,1267,577,111,52,126,59.4,27.05,5.2,2.44,5.91,969,73,6,0,6,67,15,52,896,7.53,0.62,0,0.62,6.91,1.55,5.37,92.47,2817,494,2323,17.54,82.46,969,165,80,28,18,43,53,96,82,22,51,112,110,65,38,0,6,17.03,8.26,2.89,1.86,4.44,5.47,9.91,8.46,2.27,5.26,11.56,11.35,6.71,3.92,0,0.62,40117,40117,61500,34545,,,,42721,42000,43162,61750,50650.4644,39861,51651.11111,38958,47220.46414,23281,28536,36930,9268,18500,37440,8544,35563,17431,28403,36650,37188,51107,35497,,28958,35200,65250,50764,35647,17083,28125,39917,35313,51471,40117,73214,38701,969,780,189,80.5,19.5,969,753,216,77.71,22.29,969,109,860,11.25,88.75,969,16,953,1.65,98.35,969,93,876,9.6,90.4,969,48,921,4.95,95.05,969,41,928,4.23,95.77,969,23,946,2.37,97.63,969,42,927,4.33,95.67,19825,37649,15158,,15949,,17123,9614,20097,38767,1250,283,251,32,843,0,12,76,12,24,22.64,20.08,2.56,67.44,0,0.96,6.08,0.96,1.92,1250,1226,84,129,116,246,290,226,135,24,98.08,6.72,10.32,9.28,19.68,23.2,18.08,10.8,1.92,44
36005002000,14000US36005002000,"Census Tract 20, Bronx County, New York","Census Tract 20, Bronx County, New York",ny,140,0,ACSSF,3486,,,,,36,5,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9608,9608,62909.18,0.152728121,3074,2161,503,1658,141,1517,913,345,568,70.3,16.36,53.94,4.59,49.35,29.7,11.22,18.48,3074,1551,1551,312,1239,80,1159,0,0,0,1523,610,191,419,61,358,913,345,568,50.46,50.46,10.15,40.31,2.6,37.7,0,0,0,49.54,19.84,6.21,13.63,1.98,11.65,29.7,11.22,18.48,7345,4553,1364,323,453,652,61.99,18.57,4.4,6.17,8.88,3074,179,16,0,16,163,0,163,2895,5.82,0.52,0,0.52,5.3,0,5.3,94.18,9608,0,9608,0,100,3074,761,508,298,252,92,215,192,80,27,158,93,168,165,17,34,14,24.76,16.53,9.69,8.2,2.99,6.99,6.25,2.6,0.88,5.14,3.03,5.47,5.37,0.55,1.11,0.46,18370,18370,16406,24402,,,,20543,,18934,,33418.15224,21471,33029.93984,11714,21890.25192,13995,21875,40691,9350,12117,35532,9413,30517,18558,31822,36729,40579,,35771,22330,45091,45094,42578,,20705,12064,29830,36622,,,18370,42244,15516,3074,1747,1327,56.83,43.17,3074,1633,1441,53.12,46.88,3074,114,2960,3.71,96.29,3074,139,2935,4.52,95.48,3074,908,2166,29.54,70.46,3074,752,2322,24.46,75.54,3074,402,2672,13.08,86.92,3074,270,2804,8.78,91.22,3074,303,2771,9.86,90.14,11586,10323,12870,10916,,,11925,7468,11433,2516,2367,681,630,51,1492,0,0,168,14,12,28.77,26.62,2.15,63.03,0,0,7.1,0.59,0.51,2367,2355,69,414,211,371,623,492,175,12,99.49,2.92,17.49,8.91,15.67,26.32,20.79,7.39,0.51,41
36005002300,14000US36005002300,"Census Tract 23, Bronx County, New York","Census Tract 23, Bronx County, New York",ny,140,0,ACSSF,3487,,,,,36,5,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4733,4733,117142.8,0.040403662,1982,1190,343,847,86,761,792,426,366,60.04,17.31,42.73,4.34,38.4,39.96,21.49,18.47,1982,701,691,79,612,39,573,10,0,10,1281,499,264,235,47,188,782,426,356,35.37,34.86,3.99,30.88,1.97,28.91,0.5,0,0.5,64.63,25.18,13.32,11.86,2.37,9.49,39.46,21.49,17.96,3678,2118,748,285,198,329,57.59,20.34,7.75,5.38,8.95,1982,121,0,0,0,121,16,105,1861,6.1,0,0,0,6.1,0.81,5.3,93.9,4733,5,4728,0.11,99.89,1982,472,421,257,217,90,117,59,77,56,97,24,58,0,23,14,0,23.81,21.24,12.97,10.95,4.54,5.9,2.98,3.88,2.83,4.89,1.21,2.93,0,1.16,0.71,0,17426,17426,13456,14808,23794,,,18666,,17045,,24577.09384,20658,28278.48739,12332,15769.57071,12500,13854,29345,9201,12068,24167,10411,19497,15372,23977,18860,33835,11466,25565,18542,29613,,,,18803,12282,21469,19449,34135,11466,17426,,17516,1982,1049,933,52.93,47.07,1982,1005,977,50.71,49.29,1982,87,1895,4.39,95.61,1982,26,1956,1.31,98.69,1982,749,1233,37.79,62.21,1982,532,1450,26.84,73.16,1982,232,1750,11.71,88.29,1982,178,1804,8.98,91.02,1982,98,1884,4.94,95.06,10874,10278,8619,5452,,,13159,18594,12385,,1223,103,59,44,994,0,0,121,4,1,8.42,4.82,3.6,81.28,0,0,9.89,0.33,0.08,1223,1222,0,186,208,184,249,328,67,1,99.92,0,15.21,17.01,15.04,20.36,26.82,5.48,0.08,41
36005002400,14000US36005002400,"Census Tract 24, Bronx County, New York","Census Tract 24, Bronx County, New York",ny,140,0,ACSSF,3488,,,,,36,5,,,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,130,498.1402,0.260970707,28,28,0,28,28,0,0,0,0,100,0,100,100,0,0,0,0,28,28,28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,104,70,0,0,34,0,67.31,0,0,32.69,0,28,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,100,130,0,130,0,100,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,58571,,,,,,,58571,,,,,,,,,,,,,,,,,,,,,28,28,0,100,0,28,28,0,100,0,28,0,28,0,100,28,0,28,0,100,28,0,28,0,100,28,0,28,0,100,28,0,28,0,100,28,0,28,0,100,28,0,28,0,100,54918,,,,,,,,,,104,0,0,0,104,0,0,0,0,0,0,0,0,100,0,0,0,0,0,104,104,0,0,34,0,0,70,0,0,100,0,0,32.69,0,0,67.31,0,0,0
36005002500,14000US36005002500,"Census Tract 25, Bronx County, New York","Census Tract 25, Bronx County, New York",ny,140,0,ACSSF,3489,,,,,36,5,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5760,5760,117013.9,0.049224938,1890,1291,382,909,254,655,599,319,280,68.31,20.21,48.1,13.44,34.66,31.69,16.88,14.81,1890,881,881,242,639,120,519,0,0,0,1009,410,140,270,134,136,599,319,280,46.61,46.61,12.8,33.81,6.35,27.46,0,0,0,53.39,21.69,7.41,14.29,7.09,7.2,31.69,16.88,14.81,4221,2431,1027,269,167,327,57.59,24.33,6.37,3.96,7.75,1890,100,0,0,0,100,34,66,1790,5.29,0,0,0,5.29,1.8,3.49,94.71,5760,0,5760,0,100,1890,398,344,176,134,52,124,133,37,48,90,76,107,104,67,0,0,21.06,18.2,9.31,7.09,2.75,6.56,7.04,1.96,2.54,4.76,4.02,5.66,5.5,3.54,0,0,22771,22771,33594,16208,,,,22861,,20000,88194,35379.52381,32276,42758.63672,11272,17147.24541,16380,17372,26123,9572,15424,32008,11006,23030,22976,15128,26667,31090,,23932,24355,14979,24931,23043,85469,21515,17311,15278,30179,32048,,22771,106389,20893,1890,1237,653,65.45,34.55,1890,1192,698,63.07,36.93,1890,119,1771,6.3,93.7,1890,53,1837,2.8,97.2,1890,442,1448,23.39,76.61,1890,501,1389,26.51,73.49,1890,138,1752,7.3,92.7,1890,45,1845,2.38,97.62,1890,145,1745,7.67,92.33,12839,19930,13049,,13055,,10875,12492,12097,20216,2147,199,153,46,1484,0,91,300,31,42,9.27,7.13,2.14,69.12,0,4.24,13.97,1.44,1.96,2147,2105,87,350,122,623,290,549,84,42,98.04,4.05,16.3,5.68,29.02,13.51,25.57,3.91,1.96,40
36005002701,14000US36005002701,"Census Tract 27.01, Bronx County, New York","Census Tract 27.01, Bronx County, New York",ny,140,0,ACSSF,3490,,,,,36,5,,,,2701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2958,2958,92704.4,0.03190787,1059,703,167,536,48,488,356,163,193,66.38,15.77,50.61,4.53,46.08,33.62,15.39,18.22,1059,461,461,101,360,0,360,0,0,0,598,242,66,176,48,128,356,163,193,43.53,43.53,9.54,33.99,0,33.99,0,0,0,56.47,22.85,6.23,16.62,4.53,12.09,33.62,15.39,18.22,1969,1144,403,108,153,161,58.1,20.47,5.49,7.77,8.18,1059,37,0,0,0,37,0,37,1022,3.49,0,0,0,3.49,0,3.49,96.51,2958,0,2958,0,100,1059,352,106,126,84,78,36,40,82,11,24,78,37,0,5,0,0,33.24,10.01,11.9,7.93,7.37,3.4,3.78,7.74,1.04,2.27,7.37,3.49,0,0.47,0,0,17383,17383,12059,21806,,,,12417,,15023,,24323.70161,23083,27642.53201,10772,13723.03371,12783,14797,27159,10196,11486,23083,7781,21573,20170,22727,18977,43000,,17470,25265,17135,16652,,,21613,17473,23583,,42625,,17383,,17383,1059,697,362,65.82,34.18,1059,659,400,62.23,37.77,1059,38,1021,3.59,96.41,1059,5,1054,0.47,99.53,1059,233,826,22,78,1059,214,845,20.21,79.79,1059,177,882,16.71,83.29,1059,66,993,6.23,93.77,1059,77,982,7.27,92.73,9406,8690,12660,,,,7730,,8477,,959,130,112,18,623,0,0,193,0,13,13.56,11.68,1.88,64.96,0,0,20.13,0,1.36,959,946,74,111,55,121,298,207,80,13,98.64,7.72,11.57,5.74,12.62,31.07,21.58,8.34,1.36,43
